University,Continent,Country,Lat,Long
University of Cagliari,Europe,Italy,39.22,9.11
University of Calcutta,Asia,India,22.57,88.36
University of Calgary,North America,Canada,51.08,-114.14
"University of California, Berkeley",North America,United States of America,37.87,122.26
"University of California, Davis",North America,United States of America,38.54,121.76
"University of California, Irvine",North America,United States of America,33.64,117.84
"University of California, Los Angeles",North America,United States of America,34.07,118.45
"University of California, Riverside",North America,United States of America,33.97,117.33
"University of California, San Diego",North America,United States of America,32.88,117.23
"University of California, Santa Barbara",North America,United States of America,34.41,119.85
"University of California, Santa Cruz",North America,United States of America,36.99,122.06
University of Cambridge,Europe,United Kingdom,52.2,0.11
University of Canberra,Australia,Australia,-35.24,149.08
University of Canterbury,Australia,New Zealand,-43.52,172.58
University of Cape Town,Africa,South Africa,-33.96,18.46
University of Castilla-La Mancha,Europe,Spain,38.99,-3.93
University of Catania,Europe,Italy,37.5,15.08
University of Central Lancashire,Europe,United Kingdom,53.76,-2.71
University of Cergy-Pontoise,Europe,France,49.04,2.07
"University of Chemistry and Technology, Prague",Europe,Czech Republic,50.1,14.39
University of Chicago,North America,United States of America,41.79,-87.6
University of Chile,South America,Chile,-33.44,-70.65
University of Cincinnati,North America,United States of America,39.13,-84.51
University of Coimbra,Europe,Portugal,40.21,-8.43
University of Cologne,Europe,Germany,50.93,6.93
University of Colorado Boulder,North America,United States of America,40,-105.27
University of Connecticut,North America,United States of America,41.81,-72.25
University of Copenhagen,Europe,Denmark,55.68,12.57
University of Crete,Europe,Greece,35.31,25.08
University of Cyprus,Asia,Cyprus,35.16,33.1
University of Debrecen,Europe,Hungary,47.55,21.62
University of Delaware,North America,United States of America,39.68,-75.75
University of Delhi,Asia,India,28.58,77.16
University of Dhaka,Asia,Bangladesh,23.73,90.39
University of Duisburg-Essen,Europe,Germany,51.43,6.8
University of Dundee,Europe,United Kingdom,56.46,-2.98
University of East Anglia,Europe,United Kingdom,52.62,1.24
University of Eastern Finland,Europe,Finland,62.6,29.74
